"Supplemental Table 3. PCA, clustering, and GO enrichment analysis results. Note GO enrichment was not performed on the pale turquoise clade because this clade did not show temperature differences.",,,,,,,,,,,,,
protein_ID,PC1_loadings,PC2_loadings,PC_threshold_pass,ClusterColor,SimpleClusterColor,UniprotID,Protein_names,Protein_fams,Gene_names,GO_terms,GO_bp_IDs,sig_bp_GO,sig_bp_GOslim
CHOYP_LOC100197876.1.1.m.45271,-0.014160924,0.000592085,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; ATP binding [GO:0005524]; GTP binding [GO:0005525]; guanylate cyclase activity [GO:0004383]; hormone binding [GO:0042562]; natriuretic peptide receptor activity [GO:0016941]; peptide hormone binding [GO:0017046]; peptide receptor activity [GO:0001653]; protein kinase activity [GO:0004672]; protein kinase binding [GO:0019901]; cell surface receptor signaling pathway [GO:0007166]; cGMP biosynthetic process [GO:0006182]; cGMP-mediated signaling [GO:0019934]; dopamine metabolic process [GO:0042417]; intracellular signal transduction [GO:0035556]; negative regulation of smooth muscle cell proliferation [GO:0048662]; positive regulation of cGMP-mediated signaling [GO:0010753]; receptor guanylyl cyclase signaling pathway [GO:0007168]; regulation of blood vessel size [GO:0050880]; signal transduction [GO:0007165],NA,NA,NA
CHOYP_LOC100198049.1.1.m.13866,-0.008122063,-0.002331074,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; delta DNA polymerase complex [GO:0043625]; mitochondrion [GO:0005739]; nucleolus [GO:0005730]; nucleus [GO:0005634]; DNA biosynthetic process [GO:0071897]; DNA repair [GO:0006281]; DNA-dependent DNA replication [GO:0006261]; positive regulation of endothelial cell proliferation [GO:0001938],NA,NA,NA
CHOYP_LOC100199222.1.1.m.17588,-0.003516455,-0.001661502,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100199246.1.1.m.43478,0.000273065,-0.003608306,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199379.1.2.m.59875,-0.016959105,0.009602069,No,NA,NA,NA,NA,NA,NA,cell surface [GO:0009986]; extracellular region [GO:0005576]; signaling receptor binding [GO:0005102]; anatomical structure development [GO:0048856],NA,NA,NA
CHOYP_LOC100199379.2.2.m.63866,0.02248671,-0.009266402,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199505.1.2.m.19947,0.003815666,0.001438765,No,NA,NA,NA,NA,NA,NA,chylomicron [GO:0042627]; chylomicron remnant [GO:0034360]; clathrin-coated endocytic vesicle membrane [GO:0030669]; cytoplasm [GO:0005737]; cytosol [GO:0005829]; early endosome [GO:0005769]; endocytic vesicle lumen [GO:0071682]; endoplasmic reticulum exit site [GO:0070971]; endoplasmic reticulum lumen [GO:0005788]; endoplasmic reticulum membrane [GO:0005789]; endosome lumen [GO:0031904]; endosome membrane [GO:0010008]; extracellular exosome [GO:0070062]; extracellular region [GO:0005576]; extracellular space [GO:0005615]; high-density lipoprotein particle [GO:0034364]; intermediate-density lipoprotein particle [GO:0034363]; intracellular membrane-bounded organelle [GO:0043231]; low-density lipoprotein particle [GO:0034362]; lysosomal lumen [GO:0043202]; mature chylomicron [GO:0034359]; neuronal cell body [GO:0043025]; plasma membrane [GO:0005886]; smooth endoplasmic reticulum [GO:0005790]; very-low-density lipoprotein particle [GO:0034361]; cholesterol transporter activity [GO:0017127]; heparin binding [GO:0008201]; lipase binding [GO:0035473]; low-density lipoprotein particle receptor binding [GO:0050750]; phospholipid binding [GO:0005543]; artery morphogenesis [GO:0048844]; cellular protein metabolic process [GO:0044267]; cellular response to prostaglandin stimulus [GO:0071379]; cellular response to tumor necrosis factor [GO:0071356]; cholesterol efflux [GO:0033344]; cholesterol homeostasis [GO:0042632]; cholesterol metabolic process [GO:0008203]; cholesterol transport [GO:0030301]; chylomicron assembly [GO:0034378]; chylomicron remnant clearance [GO:0034382]; chylomicron remodeling [GO:0034371]; fertilization [GO:0009566]; flagellated sperm motility [GO:0030317]; in utero embryonic development [GO:0001701]; leukocyte migration [GO:0050900]; lipoprotein biosynthetic process [GO:0042158]; lipoprotein catabolic process [GO:0042159]; lipoprotein transport [GO:0042953]; low-density lipoprotein particle clearance [GO:0034383]; low-density lipoprotein particle remodeling [GO:0034374]; membrane organization [GO:0061024]; nervous system development [GO:0007399]; positive regulation of cholesterol storage [GO:0010886]; positive regulation of gene expression [GO:0010628]; positive regulation of lipid storage [GO:0010884]; positive regulation of macrophage derived foam cell differentiation [GO:0010744]; post-embryonic development [GO:0009791]; post-translational protein modification [GO:0043687]; receptor-mediated endocytosis [GO:0006898]; regulation of cholesterol biosynthetic process [GO:0045540]; response to carbohydrate [GO:0009743]; response to estradiol [GO:0032355]; response to lipopolysaccharide [GO:0032496]; response to selenium ion [GO:0010269]; response to virus [GO:0009615]; retinoid metabolic process [GO:0001523]; spermatogenesis [GO:0007283]; toll-like receptor signaling pathway [GO:0002224]; triglyceride catabolic process [GO:0019433]; triglyceride mobilization [GO:0006642]; very-low-density lipoprotein particle assembly [GO:0034379]; very-low-density lipoprotein particle clearance [GO:0034447],NA,NA,NA
CHOYP_LOC100199505.2.2.m.25542,-0.002120788,-0.008918373,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199663.1.1.m.22109,-0.004037776,-0.011296512,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; cytosolic large ribosomal subunit [GO:0022625]; nucleolus [GO:0005730]; protein-containing complex [GO:0032991]; ribosome [GO:0005840]; synapse [GO:0045202]; 5S rRNA binding [GO:0008097]; structural constituent of ribosome [GO:0003735]; cellular response to interleukin-4 [GO:0071353]; ribosomal large subunit assembly [GO:0000027]; translation [GO:0006412],NA,NA,NA
CHOYP_LOC100199980.1.2.m.51259,-0.014619798,0.001156338,No,NA,NA,NA,NA,NA,NA,fungal biofilm matrix [GO:0062040]; hyphal cell wall [GO:0030446]; yeast-form cell wall [GO:0030445]; glyoxalase III activity [GO:0019172]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243],NA,NA,NA
CHOYP_LOC100199980.2.2.m.62743,0.014241927,-0.008075945,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100199980.2.2.m.62746,0.015069727,0.005089212,No,NA,NA,NA,NA,NA,NA,fungal biofilm matrix [GO:0062040]; hyphal cell wall [GO:0030446]; yeast-form cell wall [GO:0030445]; glyoxalase III activity [GO:0019172]; methylglyoxal catabolic process to D-lactate via S-lactoyl-glutathione [GO:0019243],NA,NA,NA
CHOYP_LOC100200137.1.1.m.23041,0.00205195,-0.009341169,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; endoplasmic reticulum chaperone complex [GO:0034663]; endoplasmic reticulum lumen [GO:0005788]; membrane [GO:0016020]; nucleus [GO:0005634]; ATP binding [GO:0005524]; ATPase activity [GO:0016887]; ATPase activity; coupled [GO:0042623]; heat shock protein binding [GO:0031072]; misfolded protein binding [GO:0051787]; protein binding involved in protein folding [GO:0044183]; unfolded protein binding [GO:0051082]; cellular response to heat [GO:0034605]; cellular response to unfolded protein [GO:0034620]; chaperone cofactor-dependent protein refolding [GO:0051085]; endoplasmic reticulum unfolded protein response [GO:0030968]; protein refolding [GO:0042026]; response to unfolded protein [GO:0006986]; ubiquitin-dependent ERAD pathway [GO:0030433],NA,NA,NA
CHOYP_LOC100200424.1.1.m.16669,0.00205195,-0.009341169,No,NA,NA,NA,NA,NA,NA,RNA polymerase I complex [GO:0005736]; RNA polymerase III complex [GO:0005666]; DNA binding [GO:0003677]; DNA-directed 5'-3' RNA polymerase activity [GO:0003899]; protein dimerization activity [GO:0046983]; transcription by RNA polymerase I [GO:0006360]; transcription by RNA polymerase III [GO:0006383],NA,NA,NA
CHOYP_LOC100201155.1.1.m.58066,-0.017006104,-0.01294806,No,NA,NA,NA,NA,NA,NA,cell cortex [GO:0005938]; extracellular space [GO:0005615]; perinuclear region of cytoplasm [GO:0048471]; metalloendopeptidase activity [GO:0004222]; zinc ion binding [GO:0008270],NA,NA,NA
CHOYP_LOC100202203.1.1.m.27309,-0.011909097,-0.007856286,No,NA,NA,NA,NA,NA,NA,serine-type endopeptidase activity [GO:0004252],NA,NA,NA
CHOYP_LOC100202812.1.1.m.31203,0.00205195,-0.009341169,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100204502.1.2.m.26864,0.016450653,-0.011703185,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100205674.1.1.m.5810,0.002144587,-0.004372169,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100206475.1.16.m.4004,0.017901553,0.009384937,No,NA,NA,NA,NA,NA,NA,extracellular region [GO:0005576]; copper ion binding [GO:0005507]; hydroquinone:oxygen oxidoreductase activity [GO:0052716]; lignin catabolic process [GO:0046274],NA,NA,NA
CHOYP_LOC100206557.1.1.m.11857,-0.016959105,0.009602069,No,NA,NA,NA,NA,NA,NA,Golgi cisterna membrane [GO:0032580]; integral component of membrane [GO:0016021]; galactose 3-O-sulfotransferase activity [GO:0050694]; galactosylceramide sulfotransferase activity [GO:0001733]; glycolipid biosynthetic process [GO:0009247],NA,NA,NA
CHOYP_LOC100207121.5.9.m.48175,-0.003983162,-0.007218283,No,NA,NA,NA,NA,NA,NA,ATP binding [GO:0005524],NA,NA,NA
CHOYP_LOC100207216.2.2.m.28185,-0.022559617,0.010532152,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737],NA,NA,NA
CHOYP_LOC100208023.1.8.m.8628,0.007177631,7.53E-05,No,NA,NA,NA,NA,NA,NA,extracellular exosome [GO:0070062]; integral component of plasma membrane [GO:0005887]; integral component of synaptic membrane [GO:0099699]; plasma membrane [GO:0005886]; receptor complex [GO:0043235]; Schaffer collateral - CA1 synapse [GO:0098685]; protein tyrosine phosphatase activity [GO:0004725]; Ras guanyl-nucleotide exchange factor activity [GO:0005088]; transmembrane receptor protein tyrosine phosphatase activity [GO:0005001]; axon guidance [GO:0007411]; insulin receptor signaling pathway [GO:0008286]; MAPK cascade [GO:0000165]; modulation of chemical synaptic transmission [GO:0050804],NA,NA,NA
CHOYP_LOC100208023.8.8.m.49917,0.002248347,-0.013442173,No,NA,NA,NA,NA,NA,NA,extracellular space [GO:0005615]; integral component of membrane [GO:0016021]; identical protein binding [GO:0042802]; protein tyrosine phosphatase activity [GO:0004725]; negative regulation of epithelial cell migration [GO:0010633]; negative regulation of neuron projection development [GO:0010977]; toxin transport [GO:1901998],NA,NA,NA
CHOYP_LOC100208544.1.1.m.54499,0.002218464,0.004714944,No,NA,NA,NA,NA,NA,NA,extracellular space [GO:0005615]; lysosome [GO:0005764]; adenylate cyclase-inhibiting G protein-coupled receptor signaling pathway [GO:0007193]; epithelial cell differentiation involved in prostate gland development [GO:0060742]; prostate gland growth [GO:0060736]; regulation of lipid metabolic process [GO:0019216]; sphingolipid metabolic process [GO:0006665],NA,NA,NA
CHOYP_LOC100210536.1.1.m.18414,-0.005003915,-0.000360492,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; nucleus [GO:0005634]; protein-containing complex [GO:0032991]; positive regulation by host of symbiont catalytic activity [GO:0043947]; protein stabilization [GO:0050821]; regulation of protein stability [GO:0031647],NA,NA,NA
CHOYP_LOC100210677.7.8.m.42871,0.022801449,0.005705636,No,NA,NA,NA,NA,NA,NA,basement membrane [GO:0005604]; cell cortex [GO:0005938]; cell junction [GO:0030054]; cell-cell adherens junction [GO:0005913]; cleavage furrow [GO:0032154]; collagen-containing extracellular matrix [GO:0062023]; extracellular region [GO:0005576]; calcium ion binding [GO:0005509]; cell adhesion molecule binding [GO:0050839]; extracellular matrix structural constituent [GO:0005201]; protein homodimerization activity [GO:0042803]; signaling receptor activity [GO:0038023]; cell cycle [GO:0007049]; cell division [GO:0051301]; heterophilic cell-cell adhesion via plasma membrane cell adhesion molecules [GO:0007157]; homophilic cell adhesion via plasma membrane adhesion molecules [GO:0007156]; response to bacterium [GO:0009617],NA,NA,NA
CHOYP_LOC100210677.8.8.m.43132,0.01852087,0.009709053,No,NA,NA,NA,NA,NA,NA,extracellular space [GO:0005615]; cell adhesion [GO:0007155]; cell differentiation [GO:0030154]; nervous system development [GO:0007399],NA,NA,NA
CHOYP_LOC100211409.1.1.m.4742,0.010621425,0.011550476,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100211409.1.1.m.4743,0.011555782,-0.01058517,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100212224.1.1.m.37724,0.011915748,0.008590685,No,NA,NA,NA,NA,NA,NA,,NA,NA,NA
CHOYP_LOC100212386.1.2.m.33906,0.006090613,0.000177605,No,NA,NA,NA,NA,NA,NA,integral component of membrane [GO:0016021]; plasma membrane [GO:0005886]; chitin synthase activity [GO:0004100]; chitin biosynthetic process [GO:0006031]; multicellular organism development [GO:0007275]; positive regulation of nematode larval development [GO:0061063],NA,NA,NA
CHOYP_LOC100212698.1.1.m.5807,-0.012632256,-0.007194963,No,NA,NA,NA,NA,NA,NA,fibrillar center [GO:0001650]; intracellular membrane-bounded organelle [GO:0043231]; lysosomal lumen [GO:0043202]; lysosome [GO:0005764]; lipase activity [GO:0016298]; sterol esterase activity [GO:0004771]; cell morphogenesis [GO:0000902]; cell proliferation [GO:0008283]; cellular lipid metabolic process [GO:0044255]; cytokine production [GO:0001816]; homeostasis of number of cells within a tissue [GO:0048873]; inflammatory response [GO:0006954]; lipid catabolic process [GO:0016042]; low-density lipoprotein particle clearance [GO:0034383]; lung development [GO:0030324]; sterol metabolic process [GO:0016125]; tissue remodeling [GO:0048771],NA,NA,NA
CHOYP_LOC100213495.2.2.m.51531,0.00491589,-0.000600715,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100213558.1.1.m.45753,0.009424176,0.015925091,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100213744.7.19.m.33062,-0.006700884,-0.01036315,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; intercellular bridge [GO:0045171]; nucleoplasm [GO:0005654]; zinc ion binding [GO:0008270]; bone development [GO:0060348],NA,NA,NA
CHOYP_LOC100213744.9.19.m.37687,0.000686233,-0.010733133,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100215454.1.1.m.40627,0.017972246,0.00653591,No,NA,NA,NA,NA,NA,NA,acetylcholine-gated channel complex [GO:0005892]; cell junction [GO:0030054]; integral component of plasma membrane [GO:0005887]; integral component of postsynaptic membrane [GO:0099055]; integral component of presynaptic membrane [GO:0099056]; membrane [GO:0016020]; neuron projection [GO:0043005]; synapse [GO:0045202]; acetylcholine-gated cation-selective channel activity [GO:0022848]; drug binding [GO:0008144]; transmembrane signaling receptor activity [GO:0004888]; chemical synaptic transmission [GO:0007268]; ion transmembrane transport [GO:0034220]; nervous system process [GO:0050877]; neuromuscular synaptic transmission [GO:0007274]; positive regulation of dopamine secretion [GO:0033603]; protein heterooligomerization [GO:0051291]; regulation of membrane potential [GO:0042391]; response to nicotine [GO:0035094]; signal transduction [GO:0007165]; synaptic transmission; cholinergic [GO:0007271],NA,NA,NA
CHOYP_LOC100217869.1.2.m.29774,-0.001382934,-0.022657505,No,NA,NA,NA,NA,NA,NA,mRNA cleavage and polyadenylation specificity factor complex [GO:0005847]; RNA binding [GO:0003723]; mRNA polyadenylation [GO:0006378]; pre-mRNA cleavage required for polyadenylation [GO:0098789],NA,NA,NA
CHOYP_LOC100218754.1.1.m.60778,0.015491898,-0.011836127,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; nucleus [GO:0005634]; plasma membrane [GO:0005886]; ruffle membrane [GO:0032587]; beta-catenin binding [GO:0008013]; actin cytoskeleton organization [GO:0030036]; cell proliferation [GO:0008283]; glomerular visceral epithelial cell migration [GO:0090521]; negative regulation of actin filament polymerization [GO:0030837]; negative regulation of cell migration [GO:0030336]; negative regulation of insulin receptor signaling pathway [GO:0046627]; negative regulation of lamellipodium morphogenesis [GO:2000393]; negative regulation of neuron projection development [GO:0010977]; negative regulation of Rho protein signal transduction [GO:0035024]; negative regulation of ruffle assembly [GO:1900028]; negative regulation of substrate adhesion-dependent cell spreading [GO:1900025]; positive regulation of canonical Wnt signaling pathway [GO:0090263]; positive regulation of Wnt signaling pathway [GO:0030177]; positive regulation of wound healing [GO:0090303]; regulation of establishment of cell polarity [GO:2000114]; regulation of Rho protein signal transduction [GO:0035023],NA,NA,NA
CHOYP_LOC100222629.1.1.m.9927,0.009302994,0.006584118,No,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
CHOYP_LOC100222774.1.1.m.56990,-0.011502571,-0.006927657,No,NA,NA,NA,NA,NA,NA,methylcrotonoyl-CoA carboxylase complex [GO:1905202]; mitochondrial matrix [GO:0005759]; mitochondrion [GO:0005739]; ATP binding [GO:0005524]; methylcrotonoyl-CoA carboxylase activity [GO:0004485]; leucine catabolic process [GO:0006552]; leucine metabolic process [GO:0006551]; regulation of eclosion [GO:0007563],NA,NA,NA
CHOYP_LOC100222774.1.1.m.56992,0.00520142,-0.004543725,No,NA,NA,NA,NA,NA,NA,cytoplasmic side of rough endoplasmic reticulum membrane [GO:0098556]; cytosolic large ribosomal subunit [GO:0022625]; ribosome [GO:0005840]; structural constituent of ribosome [GO:0003735]; response to aldosterone [GO:1904044]; rRNA processing [GO:0006364]; translation [GO:0006412],NA,NA,NA
CHOYP_LOC100227090.1.1.m.1313,0.012353555,0.02298547,No,NA,NA,NA,NA,NA,NA,cytoplasm [GO:0005737]; cytosol [GO:0005829]; EKC/KEOPS complex [GO:0000408]; nucleus [GO:0005634]; protein kinase binding [GO:0019901]; tRNA threonylcarbamoyladenosine modification [GO:0002949],NA,NA,NA
CHOYP_LOC100232142.1.1.m.19194,-0.003175544,0.014715463,No,NA,NA,NA,NA,NA,NA,mitochondrial matrix [GO:0005759]; metal ion binding [GO:0046872]; methylmalonyl-CoA epimerase activity [GO:0004493]; L-methylmalonyl-CoA metabolic process [GO:0046491]; short-chain fatty acid catabolic process [GO:0019626],NA,NA,NA
CHOYP_LOC100232691.1.1.m.15025,-0.006772578,-0.00329256,No,NA,NA,NA,NA,NA,NA,mitochondrial small ribosomal subunit [GO:0005763]; mitochondrion [GO:0005739]; structural constituent of ribosome [GO:0003735]; mitochondrial ribosome assembly [GO:0061668]; mitochondrial translation [GO:0032543],NA,NA,NA
CHOYP_LOC100261610.1.1.m.6374,-0.016959105,0.009602069,No,NA,NA,NA,NA,NA,NA,calcium ion binding [GO:0005509]; calcium-mediated signaling [GO:0019722],NA,NA,NA
CHOYP_LOC100313559.1.1.m.47009,0.006862634,-0.020422816,No,NA,NA,NA,NA,NA,NA,cytosol [GO:0005829]; nucleoplasm [GO:0005654]; DNA binding [GO:0003677]; bone development [GO:0060348],NA,NA,NA
CHOYP_LOC100313569.1.1.m.15201,-0.010660231,-0.021398721,No,NA,NA,NA,NA,NA,NA,Golgi apparatus [GO:0005794]; Golgi membrane [GO:0000139]; integral component of Golgi membrane [GO:0030173]; nucleoplasm [GO:0005654]; DNA-binding transcription factor activity; RNA polymerase II-specific [GO:0000981]; intra-Golgi vesicle-mediated transport [GO:0006891],NA,NA,NA
CHOYP_LOC100313573.1.1.m.62977,-0.0038515,-0.003489623,No,NA,NA,NA,NA,NA,NA,centriole [GO:0005814]; centrosome [GO:0005813]; half bridge of spindle pole body [GO:0005825]; nucleolus [GO:0005730]; nucleus [GO:0005634]; transcription export complex 2 [GO:0070390]; calcium ion binding [GO:0005509]; microtubule binding [GO:0008017]; calcium-mediated signaling [GO:0019722]; cell division [GO:0051301]; centrosome cycle [GO:0007098]; microtubule nucleation [GO:0007020]; mitotic spindle pole body duplication [GO:1903087]; spindle pole body duplication [GO:0030474],NA,NA,NA
